country,number_of_actors,actor_list
New Zealand,15,"@TheNetShip, Actor231004, Amn3s1a Team, DragonForce, LockBit, Medusa, Middle East Cyber Army, Ministry of State Security's (MSS) Hainan State Security Department (APT40) , NetWalker, RawShark, TA505, Team Muslim Cyberforce, Undetermined, Vanda The God, Vice Society"
Nicaragua,1,LockBit
Nigeria,7,"Anonymous (Nigeria), Anonymous (Sudan), Anonymous (Syria), GrenXPaRTa, Meow, Nigerian Cyber Army, Undetermined"
Norway,13,"Anonymous (Norway), Ayy?ld?z Tim, Cozy Bear, GRU Unit 26165 (FANCY BEAR), Legion Cyber Spetsnaz, Ministry of State Security's (MSS) (APT31), NoName057(16), Play, RansomEXX, Two Unnamed Brazilian Hackers, Undetermined, WIZARD SPIDER, austinsimon864"
Oman,2,"Undetermined, United Arab Emirates"
Pakistan,33,"ALPHV, ASOR Hack Team, Anonymous, Anonymous (Pakistan), Anti Mortadin!@, Bl@Ck Dr@GoN, Blacksmith Hacker's Team, Confucius, Dr.SHA6H, Earth Longzhi, Godzilla, Greenbug, H4$N4!N H4XOR, Haxor T0du, Hell Shield Hackers, IBH (Indian Black Hats), Indian hackers, Kai-H4xOrR, Kai-H4xOrR; Shell Haxor, Kami Haxor, Ne0-H4ck3r, NetWalker, Pak Cyber Eaglez, Pakistan Haxors Crew, Spider64, Team I Crew, Team Pak Cyber Experts, Th3 Ap3x, The Mallu Soldiers, Tiger Mate, Undetermined, White Company, Zukr@in"
Palau,3,"DragonForce, LockBit, Undetermined"
"Palestine, State of",4,"Gaza Cybergang, Indian Cyber Force, Ministry of Intelligence and Security (MOIS), ThreatSec"
Panama,5,"ALPHV, Anonymous, Panama, SonnySpooks, Undetermined"
Papua New Guinea,1,Undetermined
Paraguay,4,"AvosLocker, Black Hunt, Mormoroth, Undetermined"
Peru,6,"BlackByte, Dark Power, Guacamaya, LockBit, Undetermined, WIZARD SPIDER"
Philippines,23,"ALPHV, APT23, APT32, Anonymous, Anonymous (Philippines), Bloodsec International, Gantengers Crew, INC Ransom, IamNoobie, Lorenz, LulzSec Pilipinas, Medusa, Ministry of State Security's (MSS) (MUSTANG PANDA), Nigerian Individuals, Philippine Army, Pinoy Anonymouz, Pinoy Grayhats, Pinoy LulzSec; Elite Cyber Security; MCA and PHU DDOS Squad, Shin0bi_H4x0r, Undetermined, VirtuaL DARKWAR2, p0lak & sh0utz, ph1ns"
Poland,17,"@TheNetShip, Anonymous Russia, CyberBerkut, GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM), GRU Unit 26165 (FANCY BEAR), Ghostwriter, HelloKitty, Islamic State, Killnet, NoName057(16), People's CyberArmy, Pravyy Sector, Two Polish citizens, Two Unnamed Brazilian Hackers, UAC-0114, Undetermined, Vice Society"
Portugal,11,"Actor230830, Fokinz, GOLD DUPONT, Lapsus$, LockBit, NGB 3rd Technical Surveillance Bureau, Ragnar Locker, Rhysida, Sudoh4k3rs, Undetermined, Vice Society"
Puerto Rico,1,Undetermined
Qatar,3,"Snatch, Undetermined, United Arab Emirates"
Republic of North Macedonia,1,Powerful Greek Army
Romania,18,"Anonymous, Anonymous (Romania), Anonymous Russia, Backmydata, Carbanak, Cozy Bear, DetoxRansome, GRU Unit 26165 (FANCY BEAR), Hive, Kami Haxor, Kapustkiy, Killnet, Meowless, NGB 3rd Technical Surveillance Bureau, PHOBOS, Two Unnamed Brazilian Hackers, Undetermined, nofawkX-al"
Russian Federation,81,"2402team, AgainstTheWest, Anonymous, Anonymous Russia, Anonymous-DepaixPorteur, Anti-Armenia Team, Apathy, Arvin Club, Attackers allegedly affiliated with the Wagner Group, B00daMooda, BLACKJACK, BO Team, Belarusian Cyber Partisans, Black-Spy, Blackjack, Buhtrap, Carbanak, Cloud Atlas, Cryptolulz666, Cyber Palyanitsa, Cyber Resistance, Cyber.Anarchy.Squad, CyberHunta, DayKalif, Digital Revolution, DumpForums, DumpForums and Ukrainian Cyber Alliance, Dutch AIVD, FBI, GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM), GRU Unit 26165 (FANCY BEAR), GURMO, GhostSec, Hacktivists from Ukraine, Haydamaki, Hdr0, IT Army of Ukraine, Israel, KalvinSecurity, Kapustkiy, Kelvin Security, KibOrg, Kraken, Lone Wolf, MaXiMiZerS, Main Intelligence Directorate (GUR), Mastermind, Meris Botnet, Ministry of State Security's (MSS) (MUSTANG PANDA), Ministry of State Security's (MSS) Tianjin State Security Department (APT10), MoneyTaker, NB65, NGB 3rd Technical Surveillance Bureau, NLB, National Republican Army of Russia, OneFist, Ov1ru$, People's CyberArmy, Phoenix, RGB, RIAEvangelist, Russian Cyber Command, Shaltai Boltai, SonnySpooks, Spid3r, Spielerkid89, StudentCyberArmy, Tessa88, The Black Rabbit World, Turk Hack Team, Two Unnamed Brazilian Hackers, US Cyber Command, Ukraine IT Army, Ukraine's defense intelligence directorate (GUR), Ukraine's intelligence service, Undetermined, WKPF, Western intelligence, XDSpy, v0g3lSec, vimproducts"
Rwanda,2,"Undetermined, World Hacker Team"
Saint Vincent and the Grenadines,2,"NGB 3rd Technical Surveillance Bureau, Undetermined"
Saudi Arabia,20,"Anonymous, Babuk, Central Scientific Institute of Chemistry and Mechanics, Cuba, DarkSly, GOLD DUPONT, Justice Blade, Lebanese Cedar, Moroccan Islamic Union-Mail, Mr.Rocky and Mr.Slyman, Mr.Xpr!, NGB 3rd Technical Surveillance Bureau, NetWalker, Oppressed Defenders, Syrian Electronic Army, Undetermined, Vice Society, Xing Team, Yemen Cyber Army, zelda"
Senegal,1,Undetermined
Serbia,3,"Medusa, PwndLocker, Undetermined"
Seychelles,2,"Digileaker, Undetermined"
Sierra Leone,1,Shield Iran
Singapore,14,"ALTDOS, Anonymous, Donut Leaks, FIN11, MAZE, Meow, NGB 3rd Technical Surveillance Bureau, Nationalist, Pyopz, ShinyHunters, Silent Librarian, The Knowns, Undetermined, Vice Society"
Sint Maarten,1,Undetermined
Slovakia,9,"@0x1Taylor, Anonymous (Czech Republic), Anonymous (Slovakia), Anonymous Russia, Hmei7, Kapustkiy, NGB 3rd Technical Surveillance Bureau, Undetermined, r3dm0v3"
Slovenia,3,"Bl4CKJ0K3R, Rhysida, Undetermined"
South Africa,22,"Absa employee, Akira, Anonymous, Anonymous (Africa), CL0P, CoomingProject, Everest, INDRIK SPIDER, Islamic Revolutionary Guard Corps (IRGC) (Agonizing Serpents), Kapustkiy, LockBit, Ministry of State Security's (MSS) Tianjin State Security Department (APT10), N4ughtySecTU Group, NGB 3rd Technical Surveillance Bureau, New World Hackers (NWH), Pysa, RansomHouse, Shadow Kill Hackers, Snatch, Tobitow, Undetermined, World Hacker Team"
Spain,33,"8Base, @FkPoliceAnonOps, ALPHV, Anonymous, Anonymous (Catalonia), Babuk, BianLian, Black Basta, DonJuji, GhostSec, Hive, Hmei7, Kelvin Security, Linker Squad, LockBit, NGB 3rd Technical Surveillance Bureau, OurMine, People's CyberArmy, Phineas Fisher, Play, Pwned, REvil, RansomEXX, RansomHouse, Snatch, Snow, Sparta Blog, Stormous, Syrian Electronic Army, TeaMp0isoN, Undetermined, Vice Society, WIZARD SPIDER"
Sri Lanka,6,"Bozkurtlar, Dr.MwNs, IAMLUPO, Sidewinder, Undetermined, Water Roc"
Sudan,1,Ministry of Intelligence and Security (MOIS) (APT 34 OilRig)
Sweden,16,"Akira, Anonymous (Sudan), Cactus, CocaineSecurity, Daniel, Enlace Hacktivist, Ministry of State Security's (MSS) Tianjin State Security Department (APT10), Mirai, NGB 3rd Technical Surveillance Bureau, NoName057(16), Ransom House, Silent Librarian, Snatch, Undetermined, Vice Society, ph1k3"
Switzerland,27,"Anonymous (Poland), Apophis Squad, Armada Collective, Black Basta, CL0P, Cozy Bear, FSB 18th Center for Information Security (Berserk Bear), GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM), GRU Unit 26165 (FANCY BEAR), Hive, Industrial Spy, Kapustkiy, Kernelware, KillMilk, Killnet, Medusa, NGB 3rd Technical Surveillance Bureau, NSHC, NoName057(16), OurMine, People's Liberation Army Strategic Support Force (PLA Unit 61398), Play, Quantum, Rex Mundi, Undetermined, Vice Society, WIZARD SPIDER"
Syrian Arab Republic,8,"Cyber Justice Team, Islamic State, Syrian Electronic Army, The Cyber Army of the Khilafah, TurkGuvenligi, Undetermined, United Cyber Caliphate, Zer0Pwn"
Taiwan (Province of China),21,"APT23, AvosLocker, Cuba, Desorden, Earth Longzhi, Five Families, GOLD DUPONT, INDRIK SPIDER, Kapustkiy, Kernelware, LockBit, Ministry of State Security's (MSS) (MUSTANG PANDA), NGB 3rd Technical Surveillance Bureau, People's Liberation Army Strategic Support Force (PLA Unit 61398), REvil, Ragnar Locker, Sprite Spider, Toogod, Undetermined, WIZARD SPIDER, uid0"
Tajikistan,1,Mr.Xhat
"Tanzania, United Republic of",2,"Ministry of Intelligence and Security (MOIS) (APT 34 OilRig), World Hacker Team"
Thailand,25,"9Near, ALTDOS, Anonymous, BigBrother's Gaze, Blink Hacker Group, Desorden, Earth Longzhi, Gh0s7, Ghostr, Hunter butt, K0LzSec, LockBit, Milw0rm, NDT SEC, NGB 3rd Technical Surveillance Bureau, Naraka, Qilin, R1g, ShinyHunters, Snatch, Soni, Thailand, Undetermined, Vice Society, yPeRtRoN"
Togo,2,"Agency of the Togolese Government, Undetermined"
Tonga,1,Medusa
Trinidad and Tobago,3,"Anonymous, REvil, Undetermined"
Tunisia,1,Anonymous
Turkey,18,"AhmetU, Anonymous, Anonymous (Kurdistan), Ebu Duhan, Former Rezzannday employee, Ministry of Intelligence and Security (MOIS) (APT39 REMIX KITTEN), Monte Melkonian Cyber Army (MMCA), MuhmadEmad, NGB 3rd Technical Surveillance Bureau, Phoenix's Helmets (Anka Neferler Tim), ROR[RG], RansomedVC, RedHack, Spectre123, Two Unnamed Brazilian Hackers, Undetermined, United Arab Emirates, bRpsd"
Turkmenistan,4,"Abdellah Elmaghribi, Dr.SHA6H, Moroccan Wolf, Undetermined"
Uganda,3,"Anonymous, GeNiuS-JorDan, Hanom1960"
Ukraine,47,"@ciadotgov, Altahrea Team, Anonymous (Sudan), Anonymous (Ukraine), Anonymous Russia, Bl00dy, Clowns, Cyber Army, CyberBerkut, DEV-0586, Earth Longzhi, Egregor, FSB 18th Center for Information Security (Berserk Bear), FSB 18th Center for Information Security (Gamaredon), GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM), GRU Unit 26165 (FANCY BEAR), Ghostwriter, Green Dragon Crew, ICC_H@ckTeam, IRIDIUM, IT Army of Ukraine, Killnet, Medusa, Myrotvorets, National Cyber Army, NoName057(16), People's CyberArmy, Phoenix, RaHDIt, RansomEXX, Red Hackers Alliance, Russian Hackers Team, Threat actors from Russia, UAC-0041, UAC-0050, UAC-0056, UAC-0063, UAC-0097, UAC-0098, UAC-0114, UAC-0132, Ukranian Svoboda Party, Undetermined, Vermin, XakNet, Zarya, theMx0nday"
Undetermined,80,"@TheNetShip, @ulzr1z, @yanluowangleaks, A hacker(s) claiming to be affiliated with Anonymous, ALPHV, APT32, Akihirah, Amped Attacks AKA sgtbilko420, Anonymous, Anonymous (Protection), AristoK3, Avaddon, Blue Mockingbird, Bronze Starlight, Buddhax, Buhtrap, Calisto , Carbanak, Chipher0007, Connor Freeman, Cozy Bear, Cuba, Curious Gorge, Cursed Patriarch, Cyber Freedom, Daeshgram, DarkHydrus, DeleteSec, ElSurveillance, FIN8, FSB 18th Center for Information Security (Berserk Bear), Fallaga Team, FireHack, Football Leaks, GRU Unit 26165 (FANCY BEAR), IntelBroker, Intsights, Killnet, Kim Jong-Cracks, LockBit, Lorenz, MAZE, Malsmoke, Mat AKA @0xScripts, Ministry of Intelligence and Security (MOIS) (APT 34 OilRig), Ministry of State Security's (MSS) (MUSTANG PANDA), MoustachedBouncer, NGB 3rd Technical Surveillance Bureau, Odinaff group, OurMine, Peace, People's Liberation Army Strategic Support Force (PLA Unit 61398), Pernicious Developers, Play, PoodleCorp, Quantum, REvil, Raidforums, Ranzy Locker, Rhysida, Scattered Spider, ShinyHunters, Smitt3nz AKA Rubber, Snatch, Stonefly, TA4563, TA505, TarTarX, Turk Guvengligi, Two individuals, US Cyber Command, Undetermined, United Kingdom, W0rm, WINDSHIFT, WauchulaGhost, YoroTrooper, aabbccddeefg, holo-gfx, pompompurin"
United Arab Emirates,17,"ALPHV, Anonymous, Anonymous (Sudan), AvosLocker, Bozkurtlar, Hacker Buba, Islamic State, Lebanese Cedar, ManiAc Naiem, NGB 3rd Technical Surveillance Bureau, NullCrew, Smitt3nz AKA Rubber, Snatch, TheHorseMenLulz, TheHorsemen, Undetermined, Websites Hunter"
United Kingdom of Great Britain and Northern Ireland,104,"15-year old Merseyside boy, 8Base, @DadSecurity, @HTGzSecurity, @JM511, @n0w1337, @security_511, @th3inf1d3l, ALPHV, Agenda a.k.a. Qilin, Water Galura, Akira, Altahrea Team, AnoaGhost, Anonymous, Anonymous (Sudan), Armada Collective, Ayy?ld?z Tim, Babuk, Black Basta, CL0P, Cactus, Caliphate Cyber Army, Chris Hutcheson, Couple from Vietnam, Cozy Bear, Cuba, DarkSide, Darkshadow, ElSurveillance, Evil Corp, Fallaga Team, GOLD DUPONT, GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM), GRU Unit 26165 (FANCY BEAR), Gantengers Crew, Ghostwriter, GrenXPaRTa, His Royal Gingerness, Hive, Horux, INC Ransom, INDRIK SPIDER, Impotent, Islamic Revolutionary Guard Corps (APT 35 Charming Kitten), Islamic State, Jamescarter, Killnet, Kkuq e zi, Lapsus$, Lebanese Cedar, Light, Lizard Squad, LockBit, Lorenz, MAZE, Medusa, Mespinoza, Michael Westbury, Ministry of Intelligence and Security (MOIS), Ministry of State Security's (MSS) (APT19), Ministry of State Security's (MSS) Hainan State Security Department (APT40), Moroccan Islamic Union-Mail, Moroccan Wolf, Mount Locker, MuhmadEmad, NGB 3rd Technical Surveillance Bureau, Nathan Wyatt AKA Crafty Cockney, NoName057(16), OurMine, Phineas Fisher, Phoenix, Play, REvil, RansomEXX, RansomHouse, Rhysida, Richard Edmunds, Royal, Saudi Arabia, Scott Ainge, Sdambasha, Sekhmet, Silent Librarian, Smitt3nz AKA Rubber, Snatch, Stealth Falcon, TA505, Team System DZ, Th3 Ap3x, The Dark Overlord, Two Unnamed Brazilian Hackers, Undetermined, United Arab Emirates, UserSec, Vice Society, WIZARD SPIDER, X-saad, XakNet, Xi'an Tianhe Defense Technology, Defense Contractor (APT15), af, boredbloke, nofawkX-al, r3dm0v3, sn0n"
United States of America,441,"$2a$45, 0mega, 0x2Taylor, 13-year-old Benjamin Franklin Middle School student, 1x0123, 31337, 3xp1r3 Cyber Army, 8Base, @0x1Taylor, @0x55Taylor, @2aiden3, @Compl3x1ty, @DotGovs, @G3NTbl4ck, @IncursioSubter, @Lid, @TehBVM, @TheFamilyMethod, @YourVikingdom2015, @ciadotgov, @cripthepoodle, @gift2death, @headassgang, @kitlol5, @rmsg0d, @sw@ylol, AKO, ALPHV, ALPHVM, APT41, Abdellah Elmaghribi, Abyss, Akira, Alex Van Handle, AlfabetoVirtual, Ameer Elashmawy, Amped Attacks AKA sgtbilko420, Andrew ""Weev"" Auernheimer, AnonCoder, AnonGhost, AnonPlus, Anonsec, Anonymous, Anonymous (Conservative), Anonymous (Corrupt), Anonymous (Iran), Anonymous (Poland), Anonymous (Sudan), Anonymous (USA), Anonymous Legion, Anonymous Russia, Anthony Clark, Anti WMD Team, AppState Leaks, Armada Collective, Ashiyane Digital Security Team, Astro Team, Autismsquad, Avaddon, AvosLocker, Ayy?ld?z Tim, B0yzTeam, Babuk, Berkshire Hathaway Homestate, Berkut, BianLian, Bitcoin Baron, Bl00dy, Bl@ckt0r, Black Basta, BlackByte, BlackCat, BlackMatter, BlackSuit, Boris Bullet-Dodger, Bravewanderer, Brenda, Brian Noe, Bundeswehr's Computer Network Operations Unit (CNO), C0d3c1t4d3l, CL0P, Cactus, Caliphate Cyber Army, Calisto , Carbanak, Carbonic AKA @MarxistAttorney, Chief AKA @Puttied, Chrichir, Christopher Dobbins, Christopher Taylor, Chuckling Squad, CoMoDo, Coaches for the football team at Braden River, Colbi Trent Defiore, Coldzer0, Collective of religiously and politically motivated hacker, Colossus, Comcastkids, Conti, Cozy Bear, Crackas With Attitude, Crash Override, Cru3lty, Cuba, Cyber Islamic State, CyberBerkut, CyberCaliphate, CyberTeam, CyberZeist, Cypress Insurance, DC Leaks, DERP Trolling, Daixin Team, Daniel Soares, Alex Mosquera and Erick Vaysman, Dark Angels, DarkSide, DataBreaches user ""Mud"", DeleteSec, Denarius, DeroHE, Desmond Babloo Singh, Destroyer2009, Dohaeragon, Donut Leaks, DoppelPaymer, Dr.SHA6H, DragonForce, Dump Phenom, Dunghill Leak, Eddie Raymond Tipton, Eg-R1z, Eggfather, Egor Igorevich Kriuchkov, Egregor, ElSurveillance, Elite Islamic State Hackers, Eric Walstrom, Eris Loris, Essaji, Eugene Belford, Evaldas Rimasauskas, Everest, Evil Corp, Exfocus, FIN11, FIN7, FRID4Y, FSB 18th Center for Information Security (Berserk Bear), FahriDinerPlume, Fearz, Five Hennepin HealthCare employees, Former Ashley County Medical Center employee, Former Geisinger Berwick employee, Former Montefiore Medical Center employee, Fullz House, GOLD DUPONT, GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM), GRU Unit 26165 (FANCY BEAR), Galvanize Mob, Gantengers Crew, Ghost Squad, Gnosticplayers, Golem, Gordon Welterlen and Nicole Milan, Graham Ivan Clark, Grief, Groove, H1d3n Root, Hagash Team, Hayalim Almonim, Hector Navarro, HelloKitty, Hive, Hufflepuff, Hunters International, INC Ransom, INDRIK SPIDER, Ibraheem Ahmed Al Bayati, Individual, IntelBroker, Iran Cyber Security Group Hackers, Iranian Nasr Institute (APT33), Iranian hacker, IsHaKdZ, Islamic Cyber Army, Islamic Cyber Resistance, Islamic Revolutionary Guard Corps (APT 35 Charming Kitten), Islamic Revolutionary Guard Corps (CyberAv3ngers), Islamic State, JAx, JM511, JackieChan/USInfoSearch, James Willy, Jamie Stephanie Guilford, Janitor, Jennifer Lennell Small, John Doe, JokerStash, Jonathan Ly, Jonathan Powell, Jose Bautista, Kapustkiy, Karakurt, Kelvin Onaghinor, Kelvin Security, KillMilk, Killnet, Knight, Kuroi'SH, L.M., LNO uNiTy, LOSPELAOSBRO, LV, Lapsus$, Laura Rose Carroll, Lebanese Cedar, Lizard Squad, LockBit, Lorde Bashtien, Lorenz, Lost Trust, Lov3rDns, Lynx, MAZE, MaeSTro-GhoL, MajorNelson, Mamad Warning, Mark Nsd, Medusa, MedusaLocker, Meow, Meris Botnet, Mespinoza, Mexican drug cartels, Middle East Cyber Army, Ministry of Intelligence and Security (MOIS), Ministry of Intelligence and Security (MOIS) (APT 34 OilRig), Ministry of State Security's (MSS) (APT19), Ministry of State Security's (MSS) Guangdong State Security Department (GSSD) (APT3), Ministry of State Security's (MSS) Hainan State Security Department (APT40), Ministry of State Security's (MSS) Tianjin State Security Department (APT10), Mirai, MoRo, Money Message, Monti, Moroccan Islamic Union-Mail, Moroccan Revolution Team, Muhammad Fahd, MuhmadEmad, Multiple threat actors, MuslimLeets (aka Muj4hida), NGB 3rd Technical Surveillance Bureau, Nathan, Nathan Leroux, Sanadodeh Nesheiwa, David Pokora and Austin Alcala, National Security Agency, NetWalker, New World Hackers (NWH), New World Order, Nicholas Truglia, NightLion, NoEscape, NoName057(16), Nokoyawa, NullCrew, Omnichorus, OpSeaWorld, Orion, Osiris banking Trojan, Ouch, OurMine, Paige Thompson, Palesa, Panic, PayorGrief, Peace, PeggleCrew, People's Liberation Army Strategic Support Force (PLA Unit 61398), Phantom Squad, Phobos, Phoenix, Photon, Play, PoodleCorp, Pr0digy, Pravyy Sector, ProLock, Pro_Mast3r, ProbablyOnion, Prometheus, Prosox, Protag, PwndLocker, Pysa, Qilin, Quantum, R.I.U. Star Patrol, REvil, RIPPRGANG, ROR[RG], Radar, Ragnar Locker, Rajol Hazin, Ransom House, RansomEXX, RansomHouse, RansomedVC, RedHack, Rekan Herror, Renauld Clayton, Return, Rhysida, Richard Liriano, River City Bank employee, RootAyyildiz, Royal, Russian Cyber Army, Russian hackers, RyanDa1338, Ryushi, SCUWatch, SE2mhZVVY7HF4VEV0cOH, SaLeM, Sahoo, Sally-Anne Jones (Umm Hussain Britaniya), Saudi Arabia, Sawfish, Scattered Spider, SchoolBoysGang, Shadow Brokers, Shandra Gilles, Sheriff, ShinyHunters, SiegedSec, Silent Librarian, Silent Ransom Group (SRG), SingularityMD, Sinister, SkYz0, Slug', Smitt3nz AKA Rubber, Snatch, SonnySpooks, Spain Squad, State Department employee, Stephen Godlett, Stormous, Su Bin, Sudhish Kasaba Ramesh, Sum Guy, SunCrypt, SuperExtremeShitpostingTeam, Swan, Syrian Electronic Army, TA505, TA569, TeaMp0isoN, TeaPots, Team Bad Dream, Team Danny, Team Fursec, Team System DZ, TeamBerserk, Telecomix Canada, Tessa88, The Dark Overlord, The GreaT Team, The Lizard Squad, The Real Deal, TheFamily, TheNeoBoss, Thrax, Three Dutch hackers named Edwin, Mattijs and Victor, ThreeAM, Ticketmaster, TimisoaraHackerTeam, Todd Davis aka Lifelock, Trigona, Trina Chu, Truthsec, TuftsLeaks, Twister Canyon, Two Sherman High School students, Two unidentified students, UNC3944, UNC4736, US Navy, USDoD, Uawrongteam, UkDrillas, Ukrainian National, Ulzr1z, Undetermined, United Cyber Caliphate, United Microelectronics Corporation, Unknown Nigerian attackers, Unnamed Amazon employee, Unnamed Fort Zumwalt School District student, Vanda The God, Venus, Vice Society, Vigilance, VikingDom2016, Volodymyr Kvashuk, W0rm, WIZARD SPIDER, Water Roc, Wealth Squad Chris, Websites Hunter, Wild Neutron, Xing Team, Zenith Insurance, Zhengquan Zhang, Zyklon, aLem!, bRpsd, baidu3250617231, bluebunny14, booloop, chikri95, cryptom27, cybervor, devil, emo, f AKA @Cleaver, g0tchack, labs666, mr.nsaany, n3tr1x; str0ng, nclay, netsaosa, p0lak & sh0utz, pompompurin, pr0jekkt, r3dm0v3, rmsrf, savaka, sn0n, uid0, victim, zerodark70, ‘wangfei19860902055’"
Uruguay,2,"AvosLocker, Undetermined"
Uzbekistan,2,"Dr.SHA6H, National Security Service Unit 02616"
Vanuatu,1,Undetermined
Venezuela (Bolivarian Republic of),12,"ALPHV, Bl00dy, Bl@ckt0r, Guacamaya, Kapustkiy, Kelvin Security, LulzSec Peru, Machete, Play, Team HDP, The Binary Guardians, Undetermined"
Viet Nam,9,"APT23, APT27 (Iron Panda), Erwincho, Kernelware, Lizard Squad, MAZE, NGB 3rd Technical Surveillance Bureau, ThreatSec, Undetermined"
Yemen,1,United Arab Emirates
Zambia,1,Hive
Zimbabwe,3,"Anonymous, Anonymous (Africa), Undetermined"
