ttp,cves,CWE-ID
T1136,"CVE-2020-5231, CVE-2020-1569, CVE-2020-16874, CVE-2020-1109, CVE-2020-1495, CVE-2020-1111, CVE-2020-0671, CVE-2020-11010, CVE-2019-1118, CVE-2019-0609, CVE-2019-15821, CVE-2019-3758, CVE-2019-3798, CVE-2019-18234, CVE-2018-8248, CVE-2018-8111, CVE-2018-8575, CVE-2018-8353, CVE-2018-8355, CVE-2018-8110, CVE-2015-4051, CVE-2014-4148, CVE-2013-6129","CWE-276, CWE-787, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-89, NVD-CWE-noinfo, CWE-787, NVD-CWE-noinfo, CWE-521, CWE-287, CWE-89, NVD-CWE-noinfo, CWE-787, NVD-CWE-noinfo, CWE-416, CWE-787, CWE-787, CWE-284, CWE-94, CWE-264"
T1149,CVE-2019-15821,NVD-CWE-noinfo
T1185,"CVE-2020-15179, CVE-2020-15183, CVE-2020-15162, CVE-2020-5267, CVE-2020-11083, CVE-2020-5340, CVE-2020-5241, CVE-2020-5339, CVE-2020-5217, CVE-2020-5283, CVE-2020-11055, CVE-2020-15118, CVE-2020-11036, CVE-2020-3460, CVE-2019-13538, CVE-2019-18571, CVE-2019-18578, CVE-2019-3708, CVE-2018-11073, CVE-2018-11059, CVE-2018-11075, CVE-2015-6475, CVE-2011-3056","CWE-79, CWE-79, CWE-79, CWE-80, CWE-79, CWE-79, CWE-79, CWE-79, CWE-74, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-346"
T1189,"CVE-2020-5340, CVE-2020-6820, CVE-2020-6820, CVE-2020-5339, CVE-2020-11054, CVE-2020-5266, CVE-2020-4068, CVE-2020-5290, CVE-2020-11036, CVE-2020-6819, CVE-2020-6819, CVE-2020-10257, CVE-2020-10257, CVE-2020-3198, CVE-2020-6418, CVE-2020-6418, CVE-2020-5902, CVE-2020-5902, CVE-2020-13125, CVE-2020-11901, CVE-2020-11901, CVE-2020-11901, CVE-2020-11901, CVE-2019-1118, CVE-2019-0911, CVE-2019-7286, CVE-2019-11886, CVE-2019-13720, CVE-2019-13720, CVE-2019-17026, CVE-2019-18935, CVE-2019-1106, CVE-2019-0926, CVE-2019-1052, CVE-2019-9978, CVE-2019-1943, CVE-2019-18578, CVE-2019-15974, CVE-2019-15276, CVE-2019-1915, CVE-2019-15280, CVE-2018-9206, CVE-2018-8174, CVE-2018-8120, CVE-2018-0798, CVE-2018-0802, CVE-2018-8248, CVE-2018-8355, CVE-2018-11073, CVE-2018-11059, CVE-2017-0149, CVE-2017-0222, CVE-2017-15919, CVE-2017-0022, CVE-2016-3714, CVE-2016-3298, CVE-2016-7256, CVE-2016-0034, CVE-2016-3393, CVE-2016-1409, CVE-2016-7189, CVE-2016-9079, CVE-2016-4656, CVE-2015-5123, CVE-2015-2419, CVE-2015-2502, CVE-2015-7756, CVE-2015-2590, CVE-2015-2425, CVE-2015-1641, CVE-2015-0071, CVE-2015-2424, CVE-2015-2426, CVE-2014-1776, CVE-2014-0266, CVE-2014-4123, CVE-2014-1815, CVE-2014-6332, CVE-2014-7187, CVE-2014-0307, CVE-2014-0307, CVE-2014-0324, CVE-2014-2817, CVE-2013-0707, CVE-2013-5211, CVE-2013-2471, CVE-2013-1493, CVE-2013-0625, CVE-2013-0422, CVE-2013-2465, CVE-2013-3918, CVE-2013-2423, CVE-2012-3213, CVE-2012-0158, CVE-2012-4681, CVE-2012-2539, CVE-2011-3544, CVE-2011-3402, CVE-2010-1885, CVE-2010-3971, CVE-2010-1423, CVE-2010-1165, CVE-2009-3459, CVE-2009-1862, CVE-2009-1136, CVE-2009-1807, CVE-2009-1151","CWE-79, CWE-362, CWE-416, CWE-79, CWE-684, CWE-79, CWE-122, CWE-384, CWE-79, CWE-787, CWE-416, CWE-862, CWE-94, CWE-787, CWE-787, CWE-843, CWE-22, CWE-829, NVD-CWE-noinfo, CWE-787, CWE-125, CWE-330, CWE-131, NVD-CWE-noinfo, CWE-787, CWE-787, CWE-352, CWE-416, CWE-787, CWE-843, CWE-502, CWE-787, CWE-787, CWE-787, CWE-79, CWE-601, CWE-79, CWE-20, CWE-20, CWE-352, CWE-79, CWE-434, CWE-787, CWE-404, CWE-787, CWE-787, NVD-CWE-noinfo, CWE-787, CWE-79, CWE-79, CWE-119, CWE-119, CWE-89, CWE-200, CWE-20, CWE-200, CWE-284, CWE-20, CWE-284, CWE-20, CWE-119, CWE-416, CWE-264, CWE-416, CWE-119, CWE-119, CWE-310, NVD-CWE-noinfo, CWE-119, CWE-399, CWE-264, CWE-119, CWE-119, CWE-416, CWE-200, CWE-264, CWE-119, CWE-119, CWE-119, CWE-416, CWE-119, CWE-119, CWE-264, NVD-CWE-noinfo, CWE-20, NVD-CWE-noinfo, CWE-119, CWE-255, CWE-264, NVD-CWE-noinfo, CWE-119, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-94, NVD-CWE-noinfo, CWE-399, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-78, CWE-399, CWE-78, CWE-94, CWE-119, CWE-94, CWE-94, NVD-CWE-noinfo, CWE-94"
T1190,"CVE-2020-6964, CVE-2020-5279, CVE-2020-5366, CVE-2020-5373, CVE-2020-5345, CVE-2020-11652, CVE-2020-15170, CVE-2020-11050, CVE-2020-11078, CVE-2020-5252, CVE-2020-11054, CVE-2020-5225, CVE-2020-15109, CVE-2020-4068, CVE-2020-11013, CVE-2020-5220, CVE-2020-15211, CVE-2020-15211, CVE-2020-11021, CVE-2020-15096, CVE-2020-5254, CVE-2020-11010, CVE-2020-3306, CVE-2020-3312, CVE-2020-3375, CVE-2020-1025, CVE-2020-9380, CVE-2020-10189, CVE-2020-9459, CVE-2020-13126, CVE-2020-11897, CVE-2020-11896, CVE-2020-11896, CVE-2020-11738, CVE-2020-14508, CVE-2020-6993, CVE-2020-2883, CVE-2020-0601, CVE-2020-3292, CVE-2020-3177, CVE-2020-3309, CVE-2020-3198, CVE-2020-3510, CVE-2020-3397, CVE-2020-3133, CVE-2020-3244, CVE-2020-3409, CVE-2020-3126, CVE-2020-3387, CVE-2020-6974, CVE-2020-3407, CVE-2019-2729, CVE-2019-2725, CVE-2019-11708, CVE-2019-8540, CVE-2019-0604, CVE-2019-5910, CVE-2019-0880, CVE-2019-10973, CVE-2019-1132, CVE-2019-15107, CVE-2019-16759, CVE-2019-6703, CVE-2019-3396, CVE-2019-10149, CVE-2019-15243, CVE-2019-11219, CVE-2019-1458, CVE-2019-3799, CVE-2019-3758, CVE-2019-1817, CVE-2019-15276, CVE-2019-3723, CVE-2019-3732, CVE-2019-1704, CVE-2019-1746, CVE-2019-1915, CVE-2019-15289, CVE-2019-1594, CVE-2019-12696, CVE-2019-1876, CVE-2019-18234, CVE-2019-3731, CVE-2019-3706, CVE-2019-15976, CVE-2019-15956, CVE-2019-15958, CVE-2019-1753, CVE-2019-1863, CVE-2019-15249, CVE-2019-3707, CVE-2019-16784, CVE-2019-16760, CVE-2018-15462, CVE-2018-20062, CVE-2018-15392, CVE-2018-8611, CVE-2018-7602, CVE-2018-7600, CVE-2018-2893, CVE-2018-2628, CVE-2018-1000861, CVE-2018-0101, CVE-2018-15961, CVE-2018-2894, CVE-2018-19207, CVE-2018-8414, CVE-2018-10611, CVE-2018-15397, CVE-2018-7496, CVE-2018-15776, CVE-2018-15764, CVE-2018-15758, CVE-2018-15780, CVE-2018-11051, CVE-2018-8431, CVE-2018-19010, CVE-2018-10590, CVE-2018-14781, CVE-2017-12637, CVE-2017-18362, CVE-2017-10271, CVE-2017-1001000, CVE-2017-16651, CVE-2017-0005, CVE-2017-0199, CVE-2017-11774, CVE-2017-3066, CVE-2017-3881, CVE-2017-8291, CVE-2017-9841, CVE-2016-5062, CVE-2016-3088, CVE-2016-6909, CVE-2016-9684, CVE-2016-6366, CVE-2016-9192, CVE-2015-0072, CVE-2015-4902, CVE-2015-0984, CVE-2015-6480, CVE-2015-1539, CVE-2015-8562, CVE-2015-7912, CVE-2014-5279, CVE-2014-4148, CVE-2014-1809, CVE-2014-0050, CVE-2014-6293, CVE-2014-6287, CVE-2014-6120, CVE-2014-8551, CVE-2014-0751, CVE-2014-7235, CVE-2014-1761, CVE-2014-3413, CVE-2014-0295, CVE-2014-7186, CVE-2014-6277, CVE-2014-6271, CVE-2014-6278, CVE-2013-6129, CVE-2013-5576, CVE-2013-0641, CVE-2013-0632, CVE-2013-0631, CVE-2013-0640, CVE-2013-1904, CVE-2013-3900, CVE-2013-4335, CVE-2013-1289, CVE-2013-5057, CVE-2013-7102, CVE-2013-7372, CVE-2012-6498, CVE-2012-1795, CVE-2012-0158, CVE-2012-1675, CVE-2012-6081, CVE-2012-1557, CVE-2012-1723, CVE-2012-2520, CVE-2012-0874, CVE-2012-3015, CVE-2011-4862, CVE-2011-1331, CVE-2011-2900, CVE-2011-0096, CVE-2011-4106, CVE-2010-3765, CVE-2010-2772, CVE-2010-3888, CVE-2010-3916, CVE-2010-3653, CVE-2010-0817, CVE-2010-5326, CVE-2009-2265, CVE-2009-1308, CVE-2009-3041","CWE-306, CWE-863, CWE-22, CWE-306, CWE-862, CWE-22, NVD-CWE-Other, CWE-295, CWE-93, NVD-CWE-noinfo, CWE-684, CWE-532, CWE-862, CWE-122, CWE-200, CWE-200, CWE-787, CWE-125, NVD-CWE-noinfo, NVD-CWE-Other, CWE-119, CWE-89, CWE-400, CWE-732, CWE-20, CWE-20, CWE-434, CWE-502, CWE-79, CWE-434, CWE-787, CWE-119, CWE-787, CWE-22, CWE-193, CWE-200, NVD-CWE-noinfo, CWE-295, CWE-787, CWE-22, CWE-787, CWE-787, CWE-400, CWE-20, CWE-20, CWE-20, CWE-400, CWE-20, CWE-20, CWE-22, CWE-476, CWE-284, CWE-74, CWE-20, CWE-665, CWE-20, CWE-22, NVD-CWE-noinfo, CWE-20, NVD-CWE-noinfo, CWE-78, CWE-94, NVD-CWE-noinfo, CWE-22, CWE-78, CWE-119, CWE-330, NVD-CWE-noinfo, CWE-22, CWE-521, CWE-20, CWE-20, CWE-20, CWE-203, CWE-400, CWE-20, CWE-352, CWE-20, CWE-20, NVD-CWE-Other, CWE-306, CWE-89, CWE-203, NVD-CWE-noinfo, CWE-798, NVD-CWE-Other, CWE-20, CWE-20, NVD-CWE-Other, CWE-119, NVD-CWE-noinfo, CWE-732, CWE-494, CWE-770, CWE-20, NVD-CWE-noinfo, CWE-404, NVD-CWE-noinfo, CWE-20, NVD-CWE-noinfo, CWE-502, CWE-502, CWE-415, CWE-434, NVD-CWE-noinfo, CWE-425, CWE-20, CWE-287, NVD-CWE-noinfo, CWE-200, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-22, CWE-79, CWE-20, CWE-538, CWE-287, CWE-22, CWE-89, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-552, CWE-119, NVD-CWE-noinfo, CWE-119, CWE-502, CWE-20, CWE-704, CWE-94, CWE-669, CWE-20, CWE-119, CWE-77, CWE-119, CWE-264, CWE-79, NVD-CWE-noinfo, CWE-22, CWE-287, CWE-189, CWE-20, NVD-CWE-Other, CWE-284, CWE-94, CWE-264, CWE-264, CWE-89, CWE-94, CWE-77, CWE-94, CWE-22, CWE-94, CWE-119, CWE-798, CWE-264, CWE-119, CWE-78, CWE-78, CWE-78, CWE-264, CWE-20, NVD-CWE-noinfo, CWE-200, CWE-200, NVD-CWE-noinfo, CWE-22, CWE-20, CWE-776, CWE-79, CWE-264, CWE-20, CWE-310, NVD-CWE-Other, CWE-78, CWE-94, CWE-264, NVD-CWE-Other, CWE-89, NVD-CWE-noinfo, CWE-79, CWE-287, NVD-CWE-Other, CWE-120, CWE-119, CWE-119, CWE-79, CWE-20, CWE-119, CWE-255, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-119, CWE-79, NVD-CWE-noinfo, CWE-22, CWE-79, CWE-264"
T1190 ,"CVE-2020-15137, CVE-2020-5261","CWE-190, CWE-294"
T1200,"CVE-2019-9019, CVE-2019-3717","CWE-119, NVD-CWE-noinfo"
T1202,"CVE-2019-1270, CVE-2018-17934, CVE-2018-10589, CVE-2013-3893","CWE-59, CWE-22, CWE-22, CWE-399"
T1203,"CVE-2020-9818, CVE-2020-1631, CVE-2020-1350, CVE-2020-1350, CVE-2020-0938, CVE-2020-6819, CVE-2020-6819, CVE-2020-10257, CVE-2020-10257, CVE-2020-13126, CVE-2020-11897, CVE-2020-11896, CVE-2020-11896, CVE-2020-2883, CVE-2020-1020, CVE-2020-0601, CVE-2020-6418, CVE-2020-6418, CVE-2020-5902, CVE-2020-7456, CVE-2020-12464, CVE-2020-11901, CVE-2020-11901, CVE-2020-11901, CVE-2020-13125, CVE-2020-11901, CVE-2020-5902, CVE-2019-9019, CVE-2019-11886, CVE-2019-13720, CVE-2019-13720, CVE-2019-17026, CVE-2019-18935, CVE-2019-9791, CVE-2019-1579, CVE-2019-11932, CVE-2019-6340, CVE-2019-9081, CVE-2019-0903, CVE-2019-13527, CVE-2019-13541, CVE-2019-13510, CVE-2019-3396, CVE-2019-10149, CVE-2019-0803, CVE-2019-7286, CVE-2019-1106, CVE-2019-1035, CVE-2019-0926, CVE-2019-1052, CVE-2019-10980, CVE-2018-10376, CVE-2018-9206, CVE-2018-8174, CVE-2018-8120, CVE-2018-20062, CVE-2018-18956, CVE-2018-20250, CVE-2018-0798, CVE-2018-20838, CVE-2018-7513, CVE-2018-8589, CVE-2018-8833, CVE-2018-5454, CVE-2018-17934, CVE-2017-11847, CVE-2017-0149, CVE-2017-8759, CVE-2017-0222, CVE-2017-10271, CVE-2017-5613, CVE-2017-2404, CVE-2017-12824, CVE-2017-5638, CVE-2017-15919, CVE-2017-0262, CVE-2017-0261, CVE-2017-8570, CVE-2017-11882, CVE-2017-8464, CVE-2017-11826, CVE-2016-0034, CVE-2016-3393, CVE-2016-6366, CVE-2016-3714, CVE-2016-5180, CVE-2016-7256, CVE-2016-2208, CVE-2016-9299, CVE-2016-7193, CVE-2016-1409, CVE-2016-7189, CVE-2016-9079, CVE-2016-4656, CVE-2016-6909, CVE-2015-2509, CVE-2015-1642, CVE-2015-2502, CVE-2015-6585, CVE-2015-0096, CVE-2015-2419, CVE-2015-3864, CVE-2015-1494, CVE-2015-5123, CVE-2015-2590, CVE-2015-7756, CVE-2015-1641, CVE-2015-2425, CVE-2015-0071, CVE-2015-2426, CVE-2014-1776, CVE-2014-0266, CVE-2014-4123, CVE-2014-6352, CVE-2014-7247, CVE-2014-7187, CVE-2014-0810, CVE-2014-0593, CVE-2014-5334, CVE-2014-7169, CVE-2014-1815, CVE-2014-6332, CVE-2014-0307, CVE-2014-0307, CVE-2014-6278, CVE-2014-0324, CVE-2014-2817, CVE-2013-5211, CVE-2013-3906, CVE-2013-0707, CVE-2013-2471, CVE-2013-1493, CVE-2013-0625, CVE-2013-0422, CVE-2013-3893, CVE-2013-3918, CVE-2013-2423, CVE-2013-2465, CVE-2013-3163, CVE-2013-3897, CVE-2013-1331, CVE-2013-3644, CVE-2012-3213, CVE-2012-1856, CVE-2012-6467, CVE-2012-2311, CVE-2012-5958, CVE-2011-3544, CVE-2011-3192, CVE-2011-3402, CVE-2011-2005, CVE-2010-1297, CVE-2010-2568, CVE-2010-0842, CVE-2010-0480, CVE-2010-4398, CVE-2010-2152, CVE-2010-2862, CVE-2010-0028, CVE-2010-1885, CVE-2010-0840, CVE-2010-3971, CVE-2010-1424, CVE-2010-1423, CVE-2010-1165, CVE-2010-3915, CVE-2010-3333, CVE-2010-5326, CVE-2009-4324, CVE-2009-3129, CVE-2009-0927, CVE-2009-3459, CVE-2009-0556, CVE-2009-1136, CVE-2009-0824, CVE-2009-1671, CVE-2009-1800, CVE-2009-3041, CVE-2009-1151, CVE-2009-1862, CVE-2009-1807, CVE-2008-2992","CWE-787, CWE-22, CWE-787, CWE-190, CWE-787, CWE-787, CWE-416, CWE-94, CWE-862, CWE-434, CWE-787, CWE-119, CWE-787, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-295, CWE-787, CWE-843, CWE-22, CWE-119, CWE-416, CWE-787, CWE-330, CWE-131, NVD-CWE-noinfo, CWE-125, CWE-829, CWE-119, CWE-352, CWE-416, CWE-787, CWE-843, CWE-502, CWE-843, CWE-134, CWE-415, CWE-502, CWE-502, NVD-CWE-noinfo, CWE-824, CWE-787, CWE-416, CWE-22, CWE-78, NVD-CWE-noinfo, CWE-787, CWE-787, NVD-CWE-noinfo, CWE-787, CWE-787, CWE-843, CWE-190, CWE-434, CWE-787, CWE-404, CWE-20, CWE-119, CWE-22, CWE-787, CWE-79, CWE-787, NVD-CWE-noinfo, CWE-787, NVD-CWE-noinfo, CWE-22, NVD-CWE-noinfo, CWE-119, CWE-20, CWE-119, NVD-CWE-noinfo, CWE-134, NVD-CWE-noinfo, CWE-119, CWE-20, CWE-89, NVD-CWE-noinfo, CWE-416, NVD-CWE-noinfo, CWE-119, NVD-CWE-noinfo, CWE-119, CWE-20, CWE-284, CWE-119, CWE-20, CWE-787, CWE-284, CWE-399, CWE-90, CWE-119, CWE-20, CWE-119, CWE-416, CWE-264, CWE-119, CWE-284, CWE-119, CWE-119, CWE-119, CWE-426, CWE-119, CWE-189, CWE-79, CWE-416, NVD-CWE-noinfo, CWE-310, CWE-399, CWE-119, CWE-264, CWE-119, CWE-416, CWE-200, CWE-264, CWE-94, CWE-19, CWE-119, NVD-CWE-noinfo, CWE-20, CWE-254, CWE-78, CWE-119, CWE-119, CWE-416, CWE-119, CWE-78, CWE-119, CWE-264, CWE-20, CWE-94, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-119, CWE-255, CWE-264, CWE-399, CWE-119, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-94, CWE-399, CWE-119, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-94, NVD-CWE-noinfo, CWE-89, CWE-119, NVD-CWE-noinfo, CWE-399, NVD-CWE-noinfo, CWE-264, NVD-CWE-noinfo, CWE-20, NVD-CWE-noinfo, CWE-119, CWE-119, NVD-CWE-noinfo, CWE-189, CWE-189, CWE-78, NVD-CWE-noinfo, CWE-399, NVD-CWE-noinfo, CWE-78, CWE-94, NVD-CWE-noinfo, CWE-119, NVD-CWE-noinfo, CWE-399, CWE-94, CWE-20, CWE-119, CWE-94, CWE-94, CWE-119, CWE-119, CWE-119, CWE-264, CWE-94, CWE-94, NVD-CWE-noinfo, CWE-119"
T1204,CVE-2017-14487,CWE-290
T1204.001,"CVE-2020-5271, CVE-2020-5336, CVE-2020-5264, CVE-2020-15182, CVE-2020-15182, CVE-2020-11082, CVE-2020-11023, CVE-2020-11030, CVE-2020-5269, CVE-2020-3137, CVE-2020-3233, CVE-2020-3356, CVE-2020-3349, CVE-2020-3121, CVE-2020-12038, CVE-2019-1764, CVE-2019-15994, CVE-2019-1665, CVE-2019-1857, CVE-2019-3754, CVE-2019-13511, CVE-2019-16009, CVE-2019-1838, CVE-2019-1941, CVE-2019-3708, CVE-2018-15401, CVE-2018-15393, CVE-2016-3714, CVE-2015-0071","CWE-79, CWE-74, CWE-79, CWE-22, CWE-352, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-787, CWE-352, CWE-79, CWE-79, CWE-352, CWE-79, CWE-416, CWE-352, CWE-79, CWE-79, CWE-79, CWE-352, CWE-79, CWE-20, CWE-264"
T1204.001.,CVE-2015-7925,CWE-352
